observer,observer_ID,latitude,longitude,image_correction,tile_ID,comments,filename,region_count
PC,ref 2,-40.34405945,-9.91635842,orthorectified,106,,8_Gough_Island_100m2_106.jpg,2
PC,ref 2,-40.34401081,-9.91611851,orthorectified,106,,8_Gough_Island_100m2_106.jpg,2
PC,ref 2,-40.34247787,-9.91650892,orthorectified,134,,11_Gough_Island_100m2_134.jpg,2
PC,ref 2,-40.3425406499999,-9.9184161,orthorectified,132,,10_Gough_Island_100m2_132.jpg,1
PC,ref 2,-40.34084989,-9.91892887,orthorectified,166,,15_Gough_Island_100m2_166.jpg,1
PC,ref 2,-40.3406013,-9.92002684,orthorectified,165,,14_Gough_Island_100m2_165.jpg,1
PC,ref 2,-40.3401190399999,-9.92063145,orthorectified,164,,13_Gough_Island_100m2_164.jpg,1
PC,ref 2,-40.3480982399999,-9.91008195999999,orthorectified,56,,2_Gough_Island_100m2_56.jpg,2
PC,ref 2,-40.34808273,-9.91069969,orthorectified,56,,2_Gough_Island_100m2_56.jpg,2
PC,ref 2,-40.33760584,-9.91756308,orthorectified,222,,23_Gough_Island_100m2_222.jpg,3
