OID_,observer,obs_ID,Tile_ID,latitiude,longitude,correction,comments
35,PC,ref 2,243,-40.336968700000000,-9.914071450000000,orthorectified, 
36,PC,ref 2,243,-40.337103290000002,-9.913847060000000,orthorectified, 
37,PC,ref 2,225,-40.337794510000002,-9.913740920000000,orthorectified, 
38,PC,ref 2,224,-40.338179070000002,-9.914545100000000,orthorectified, 
39,PC,ref 2,205,-40.338447629999997,-9.914716790000000,orthorectified, 
40,PC,ref 2,204,-40.338646490000002,-9.915707319999999,orthorectified, 
41,PC,ref 2,205,-40.338739439999998,-9.915105830000000,orthorectified, 
42,PC,ref 2,206,-40.338745410000001,-9.914476519999999,orthorectified, 
43,PC,ref 2,206,-40.338757630000003,-9.914378559999999,orthorectified, 
44,PC,ref 2,204,-40.339039710000002,-9.916131289999999,orthorectified, 
45,PC,ref 2,187,-40.339355980000001,-9.915232830000001,orthorectified, 
46,PC,ref 2,188,-40.339320970000003,-9.914415900000000,orthorectified, 
47,PC,ref 2,206,-40.339051830000002,-9.914207920000001,orthorectified, 
48,PC,ref 2,206,-40.339083799999997,-9.914022700000000,orthorectified, 
49,PC,ref 2,188,-40.339199659999998,-9.913514140000000,orthorectified, 
50,PC,ref 2,189,-40.339394810000002,-9.912949830000001,orthorectified, 
51,PC,ref 2,190,-40.339667480000003,-9.911774149999999,orthorectified, 
52,PC,ref 2,171,-40.340119739999999,-9.912458700000000,orthorectified, 
53,PC,ref 2,189,-40.339859879999999,-9.912953359999999,orthorectified, 
54,PC,ref 2,169,-40.340269200000002,-9.914925900000000,orthorectified, 
55,PC,ref 2,187,-40.339732310000002,-9.915058200000001,orthorectified, 
56,PC,ref 2,185,-40.339399530000001,-9.916889950000000,orthorectified, 
57,PC,ref 2,185,-40.339493920000002,-9.916890290000000,orthorectified, 
58,PC,ref 2,185,-40.339911510000000,-9.917370930000001,orthorectified, 
59,PC,ref 2,185,-40.339972150000001,-9.917298860000001,orthorectified, 
60,PC,ref 2,168,-40.340612999999998,-9.916580679999999,orthorectified, 
61,PC,ref 2,168,-40.340556229999997,-9.916644710000000,orthorectified, 
62,PC,ref 2,151,-40.341098410000001,-9.916332040000000,orthorectified, 
63,PC,ref 2,169,-40.340644750000003,-9.915526580000000,orthorectified, 
64,PC,ref 2,134,-40.341897670000002,-9.915781640000001,orthorectified, 
65,PC,ref 2,152,-40.341163469999998,-9.914820980000000,orthorectified, 
66,PC,ref 2,152,-40.341810959999997,-9.915063050000001,orthorectified, 
67,PC,ref 2,136,-40.341957059999999,-9.914424620000000,orthorectified, 
68,PC,ref 2,120,-40.342889079999999,-9.914784709999999,orthorectified, 
69,PC,ref 2,136,-40.342429050000000,-9.914141910000000,orthorectified, 
70,PC,ref 2,136,-40.342365340000001,-9.913779740000001,orthorectified, 
71,PC,ref 2,121,-40.342889939999999,-9.913700349999999,orthorectified, 
72,PC,ref 2,122,-40.342890070000003,-9.912789150000000,orthorectified, 
73,PC,ref 2,122,-40.342815049999999,-9.912599459999999,orthorectified, 
74,PC,ref 2,138,-40.342674310000000,-9.912189400000001,orthorectified, 
75,PC,ref 2,137,-40.342166839999997,-9.912218070000000,orthorectified, 
76,PC,ref 2,137,-40.342129980000003,-9.912898240000001,orthorectified, 
77,PC,ref 2,154,-40.341814460000002,-9.912888380000000,orthorectified, 
78,PC,ref 2,154,-40.341724220000003,-9.912543250000001,orthorectified, 
