OID_,observer,obs_ID,latitude,longitude,correction,Tile_ID,comments
78,gold standard,gold standard,-40.343496940000001,-9.911902019999999,orthorectified,123, 
79,gold standard,gold standard,-40.343513410000000,-9.912679799999999,orthorectified,122, 
80,gold standard,gold standard,-40.343452710000001,-9.912889000000000,orthorectified,122, 
81,gold standard,gold standard,-40.343911700000000,-9.912310339999999,orthorectified,109, 
82,gold standard,gold standard,-40.343881000000003,-9.911668810000000,orthorectified,110, 
83,gold standard,gold standard,-40.344086679999997,-9.911340740000000,orthorectified,110, 
84,gold standard,gold standard,-40.345172310000002,-9.913045090000001,orthorectified,96, 
85,gold standard,gold standard,-40.345696629999999,-9.912468820000001,orthorectified,82, 
86,gold standard,gold standard,-40.346034279999998,-9.911848270000000,orthorectified,83, 
87,gold standard,gold standard,-40.347780999999998,-9.909891719999999,orthorectified,57, 
88,gold standard,gold standard,-40.344694050000001,-9.914072700000000,orthorectified,95, 
89,gold standard,gold standard,-40.345510120000000,-9.915777960000000,orthorectified,79, 
90,gold standard,gold standard,-40.345665799999999,-9.915985680000000,orthorectified,79, 
91,gold standard,gold standard,-40.346071449999997,-9.917184110000001,orthorectified,78, 
92,gold standard,gold standard,-40.346217860000003,-9.917925289999999,orthorectified,78, 
93,gold standard,gold standard,-40.344871439999999,-9.916472290000000,orthorectified,93, 
94,gold standard,gold standard,-40.344287899999998,-9.914743440000001,orthorectified,107, 
95,gold standard,gold standard,-40.344050199999998,-9.915238040000000,orthorectified,107, 
96,gold standard,gold standard,-40.344059450000003,-9.916358420000000,orthorectified,106, 
97,gold standard,gold standard,-40.344010810000000,-9.916118510000000,orthorectified,106, 
98,gold standard,gold standard,-40.342477870000003,-9.916508920000000,orthorectified,134, 
99,gold standard,gold standard,-40.342540649999997,-9.918416100000000,orthorectified,132, 
100,gold standard,gold standard,-40.341725009999998,-9.917597949999999,orthorectified,150, 
101,gold standard,gold standard,-40.341244699999997,-9.918199050000000,orthorectified,149, 
102,gold standard,gold standard,-40.340601300000003,-9.920026840000000,orthorectified,165, 
103,gold standard,gold standard,-40.340119039999998,-9.920631450000000,orthorectified,164, 
104,gold standard,gold standard,-40.340162059999997,-9.922018560000000,orthorectified,163, 
105,gold standard,gold standard,-40.339962409999998,-9.923362870000000,orthorectified,162, 
106,gold standard,gold standard,-40.348098239999999,-9.910081959999999,orthorectified,56, 
107,gold standard,gold standard,-40.341020999999998,-9.914222720000000,orthorectified,153, 
108,gold standard,gold standard,-40.341015280000001,-9.915277320000000,orthorectified,152, 
109,gold standard,gold standard,-40.348376299999998,-9.910711109999999,orthorectified,42, 
110,gold standard,gold standard,-40.348082730000002,-9.910699690000000,orthorectified,56, 
111,gold standard,gold standard,-40.342002829999998,-9.919694580000000,orthorectified,131, 
112,gold standard,gold standard,-40.337605840000002,-9.917563080000001,orthorectified,222, 
113,gold standard,gold standard,-40.337793400000002,-9.916006169999999,orthorectified,223, 
114,gold standard,gold standard,-40.337812659999997,-9.915844979999999,orthorectified,223, 
115,gold standard,gold standard,-40.336094289999998,-9.915957329999999,orthorectified,259, 
