OID_,observer,obs_ID,latitude,longitude,correction,Tile_ID,comment
23,MRGA,ref 1,-40.342167480000001,-9.912215880000000,orthorectified,137,"GPS is in tile 138, but ref is in tile 137 due to distance apart. Tiles not included in observer dataset."
24,MRGA,ref 1,-40.336972060000001,-9.914073220000001,orthorectified,243, 
25,MRGA,ref 1,-40.345507689999998,-9.915778469999999,orthorectified,79, 
26,MRGA,ref 1,-40.344291419999998,-9.914744380000000,orthorectified,107, 
27,MRGA,ref 1,-40.341902030000000,-9.915778810000001,orthorectified,134, 
28,MRGA,ref 1,-40.341278690000003,-9.913437439999999,orthorectified,153, 
29,MRGA,ref 1,-40.338746520000001,-9.914475980000001,orthorectified,206, 
30,MRGA,ref 1,-40.343496840000000,-9.911903770000000,orthorectified,123, 
31,MRGA,ref 1,-40.337623100000002,-9.916445700000001,orthorectified,223, 
32,MRGA,ref 1,-40.342127670000004,-9.912896320000000,orthorectified,137, 
33,MRGA,ref 1,-40.342813540000002,-9.912601580000000,orthorectified,122, 
34,MRGA,ref 1,-40.342891059999999,-9.914786660000001,orthorectified,120, 
35,MRGA,ref 1,-40.341528750000002,-9.912893560000001,orthorectified,154, 
36,MRGA,ref 1,-40.336557489999997,-9.916296030000000,orthorectified,241, 
37,MRGA,ref 1,-40.343883580000004,-9.911669020000000,orthorectified,110, 
38,MRGA,ref 1,-40.337280690000000,-9.920194570000000,orthorectified,238, 
39,MRGA,ref 1,-40.344062200000003,-9.916357270000001,orthorectified,106, 
40,MRGA,ref 1,-40.344049740000003,-9.915239209999999,orthorectified,107, 
41,MRGA,ref 1,-40.338448530000001,-9.914718210000000,orthorectified,205, 
42,MRGA,ref 1,-40.341166070000000,-9.914822630000000,orthorectified,152, 
43,MRGA,ref 1,-40.336791699999999,-9.916983320000000,orthorectified,240, 
44,MRGA,ref 1,-40.337008640000001,-9.915263789999999,orthorectified,242, 
45,MRGA,ref 1,-40.338741679999998,-9.915103869999999,orthorectified,205, 
46,MRGA,ref 1,-40.346072059999997,-9.917184550000000,orthorectified,78, 
47,MRGA,ref 1,-40.340614389999999,-9.916580970000000,orthorectified,168, 
48,MRGA,ref 1,-40.336424839999999,-9.921394460000000,orthorectified,237, 
49,MRGA,ref 1,-40.341247180000003,-9.918199370000000,orthorectified,149, 
50,MRGA,ref 1,-40.345667710000001,-9.915984970000000,orthorectified,79, 
51,MRGA,ref 1,-40.338198190000000,-9.914539059999999,orthorectified,224, 
52,MRGA,ref 1,-40.337675640000000,-9.920782890000000,orthorectified,219, 
53,MRGA,ref 1,-40.339497110000003,-9.916890130000001,orthorectified,185,"GPS is in tile 186, but ref is in tile 185 due to distance apart. Tiles not included in observer dataset."
54,MRGA,ref 1,-40.336081489999998,-9.918743640000001,orthorectified,257, 
55,MRGA,ref 1,-40.342889200000002,-9.913701350000000,orthorectified,121, 
56,MRGA,ref 1,-40.346217500000002,-9.917924870000000,orthorectified,78, 
57,MRGA,ref 1,-40.335541429999999,-9.919715360000000,orthorectified,256, 
58,MRGA,ref 1,-40.339963320000003,-9.923363910000001,orthorectified,162, 
59,MRGA,ref 1,-40.337675429999997,-9.920155729999999,orthorectified,220, 
60,MRGA,ref 1,-40.337905350000000,-9.917223780000000,orthorectified,222, 
61,MRGA,ref 1,-40.339404090000002,-9.916891000000000,orthorectified,185,"GPS is in tile 186, but ref is in tile 185 due to distance apart."
62,MRGA,ref 1,-40.339397230000003,-9.912950479999999,orthorectified,189, 
63,MRGA,ref 1,-40.344010030000000,-9.916118050000000,orthorectified,106, 
64,MRGA,ref 1,-40.338510509999999,-9.920864780000000,orthorectified,200, 
65,MRGA,ref 1,-40.340602150000002,-9.920028110000001,orthorectified,165, 
