OID_,Join_Count,TARGET_FID,Id,observer,obs_ID,Tile_ID,latitude,longitude,correction
23,1,23,0,PC,ref 2,185,-40.339478749999998,-9.916894420000000,not orthorectified
24,1,24,0,PC,ref 2,185,-40.339957730000002,-9.917302279999999,not orthorectified
25,1,25,0,PC,ref 2,185,-40.339895679999998,-9.917372459999999,not orthorectified
26,2,26,0,PC,ref 2,164,-40.340092499999997,-9.920638980000000,not orthorectified
27,1,27,0,PC,ref 2,165,-40.340569260000002,-9.920036150000000,not orthorectified
28,2,28,0,PC,ref 2,163,-40.340128630000002,-9.922028180000000,not orthorectified
29,0,29,0,PC,ref 2,180,-40.339915730000001,-9.923377840000001,not orthorectified
30,2,30,0,PC,ref 2,132,-40.342514809999997,-9.918422850000001,not orthorectified
31,1,31,0,PC,ref 2,117,-40.342828040000001,-9.918661360000000,not orthorectified
32,1,32,0,PC,ref 2,150,-40.341710280000001,-9.917602620000000,not orthorectified
33,2,33,0,PC,ref 2,134,-40.342464170000000,-9.916512940000000,not orthorectified
34,2,34,0,PC,ref 2,106,-40.344045670000000,-9.916364300000000,not orthorectified
35,2,35,0,PC,ref 2,106,-40.343993240000003,-9.916122469999999,not orthorectified
36,3,36,0,PC,ref 2,107,-40.344040249999999,-9.915242729999999,not orthorectified
37,3,37,0,PC,ref 2,107,-40.344278709999998,-9.914748760000000,not orthorectified
38,3,38,0,PC,ref 2,93,-40.344852830000001,-9.916477929999999,not orthorectified
39,2,39,0,PC,ref 2,79,-40.345491389999999,-9.915785150000000,not orthorectified
40,2,40,0,PC,ref 2,79,-40.345647560000003,-9.915991130000000,not orthorectified
41,2,41,0,PC,ref 2,78,-40.346044319999997,-9.917192790000000,not orthorectified
42,2,42,0,PC,ref 2,78,-40.346188120000001,-9.917935050000001,not orthorectified
43,1,43,0,PC,ref 2,57,-40.347834339999999,-9.909876720000000,not orthorectified
44,3,44,0,PC,ref 2,83,-40.346036839999996,-9.911845980000001,not orthorectified
45,1,45,0,PC,ref 2,82,-40.345691539999997,-9.912469379999999,not orthorectified
46,1,46,0,PC,ref 2,56,-40.348158030000000,-9.910065820000000,not orthorectified
47,1,47,0,PC,ref 2,56,-40.348136949999997,-9.910684260000000,not orthorectified
48,0,48,0,PC,ref 2,42,-40.348434359999999,-9.910693250000000,not orthorectified
49,1,49,0,PC,ref 2,96,-40.345162819999999,-9.913047410000001,not orthorectified
50,5,50,0,PC,ref 2,110,-40.344059330000000,-9.911345750000001,not orthorectified
51,2,51,0,PC,ref 2,109,-40.343895099999997,-9.912314520000001,not orthorectified
52,5,52,0,PC,ref 2,110,-40.343856019999997,-9.911678480000001,not orthorectified
53,2,53,0,PC,ref 2,123,-40.343459729999999,-9.911912330000000,not orthorectified
54,3,54,0,PC,ref 2,122,-40.343432170000000,-9.912897160000000,not orthorectified
55,3,55,0,PC,ref 2,122,-40.343489810000001,-9.912692340000000,not orthorectified
56,1,56,0,PC,ref 2,120,-40.342883010000001,-9.914787230000000,not orthorectified
57,4,57,0,PC,ref 2,121,-40.342875839999998,-9.913704910000000,not orthorectified
58,3,58,0,PC,ref 2,122,-40.342776540000003,-9.912611679999999,not orthorectified
59,1,59,0,PC,ref 2,137,-40.342109440000002,-9.912233459999999,not orthorectified
60,3,60,0,PC,ref 2,154,-40.341762320000001,-9.912905400000000,not orthorectified
61,1,61,0,PC,ref 2,137,-40.342080250000002,-9.912912179999999,not orthorectified
62,4,62,0,PC,ref 2,136,-40.342346829999997,-9.913785230000000,not orthorectified
63,4,63,0,PC,ref 2,136,-40.342418340000002,-9.914146929999999,not orthorectified
