OID_,Join_Count,TARGET_FID,Id,observer,obs_ID,latitude,Tile_ID,longitude,correction
76,3,77,0,MRGA,ref 1,-40.343490969999998,122,-9.912692710000000,not orthorectified
77,1,78,0,MRGA,ref 1,-40.342107390000002,137,-9.912236340000000,not orthorectified
78,2,79,0,MRGA,ref 1,-40.346189160000002,78,-9.917936389999999,not orthorectified
79,2,80,0,MRGA,ref 1,-40.346042410000003,78,-9.917193470000001,not orthorectified
80,2,81,0,MRGA,ref 1,-40.343895080000003,109,-9.912320090000000,not orthorectified
81,0,82,0,MRGA,ref 1,-40.348434630000000,42,-9.910695020000000,not orthorectified
82,3,83,0,MRGA,ref 1,-40.346036290000001,83,-9.911850120000000,not orthorectified
83,2,84,0,MRGA,ref 1,-40.343992350000001,106,-9.916123260000001,not orthorectified
84,3,85,0,MRGA,ref 1,-40.344852449999998,93,-9.916478950000000,not orthorectified
85,2,87,0,MRGA,ref 1,-40.341140959999997,152,-9.914827089999999,not orthorectified
86,2,88,0,MRGA,ref 1,-40.339791159999997,189,-9.912974130000000,not orthorectified
87,2,90,0,MRGA,ref 1,-40.336775750000001,240,-9.917304520000000,not orthorectified
88,0,91,0,MRGA,ref 1,-40.336351260000001,255,-9.921414830000000,not orthorectified
89,1,92,0,MRGA,ref 1,-40.337866519999999,218,-9.922539590000000,not orthorectified
90,1,93,0,MRGA,ref 1,-40.337971660000001,218,-9.922254239999999,not orthorectified
91,1,94,0,MRGA,ref 1,-40.338458930000002,198,-9.923361359999999,not orthorectified
92,3,95,0,MRGA,ref 1,-40.336438389999998,239,-9.919013339999999,not orthorectified
93,1,96,0,MRGA,ref 1,-40.339384699999997,185,-9.916895250000000,not orthorectified
94,2,97,0,MRGA,ref 1,-40.338485069999997,200,-9.920873920000000,not orthorectified
95,0,98,0,MRGA,ref 1,-40.335473870000001,274,-9.919740590000000,not orthorectified
96,0,99,0,MRGA,ref 1,-40.336424880000003,261,-9.913770710000000,not orthorectified
97,4,100,0,MRGA,ref 1,-40.341937059999999,136,-9.914427610000001,not orthorectified
98,4,102,0,MRGA,ref 1,-40.342347590000003,136,-9.913785069999999,not orthorectified
99,3,103,0,MRGA,ref 1,-40.343433070000003,122,-9.912896180000001,not orthorectified
100,0,104,0,MRGA,ref 1,-40.343702340000000,105,-9.917612889999999,not orthorectified
101,4,105,0,MRGA,ref 1,-40.338969659999997,206,-9.914478000000001,not orthorectified
102,4,106,0,MRGA,ref 1,-40.337572790000003,222,-9.917254359999999,not orthorectified
