OID_,Join_Count,TARGET_FID,Id,observer,Tile_ID,obs_ID,latitude,longitude,correction
43,0,43,0,gold standard,255,gold standard,-40.336351909999998,-9.921414759999999,not orthorectified
44,1,44,0,gold standard,223,gold standard,-40.337781970000002,-9.915855140000000,not orthorectified
45,1,45,0,gold standard,223,gold standard,-40.337764790000001,-9.916013880000000,not orthorectified
46,1,46,0,gold standard,223,gold standard,-40.337593409999997,-9.916452740000000,not orthorectified
47,3,47,0,gold standard,242,gold standard,-40.336957849999997,-9.915277300000000,not orthorectified
48,2,48,0,gold standard,241,gold standard,-40.336502959999997,-9.915943660000000,not orthorectified
49,2,49,0,gold standard,241,gold standard,-40.336521490000003,-9.916304419999999,not orthorectified
50,2,50,0,gold standard,258,gold standard,-40.336016530000002,-9.917454770000001,not orthorectified
51,0,51,0,gold standard,274,gold standard,-40.335472090000003,-9.919735870000000,not orthorectified
52,3,52,0,gold standard,243,gold standard,-40.336891950000002,-9.914092510000000,not orthorectified
53,3,53,0,gold standard,243,gold standard,-40.337019660000003,-9.913868969999999,not orthorectified
54,1,54,0,gold standard,225,gold standard,-40.337715439999997,-9.913765860000000,not orthorectified
55,4,55,0,gold standard,206,gold standard,-40.339132690000000,-9.913533310000000,not orthorectified
56,4,56,0,gold standard,206,gold standard,-40.339004449999997,-9.914222369999999,not orthorectified
57,4,57,0,gold standard,206,gold standard,-40.339030610000002,-9.914036319999999,not orthorectified
58,5,58,0,gold standard,187,gold standard,-40.339705090000002,-9.915068580000000,not orthorectified
59,2,59,0,gold standard,189,gold standard,-40.339790850000000,-9.912972379999999,not orthorectified
60,2,60,0,gold standard,189,gold standard,-40.340036740000002,-9.912486010000000,not orthorectified
61,1,61,0,gold standard,190,gold standard,-40.339553789999997,-9.911806439999999,not orthorectified
62,2,62,0,gold standard,169,gold standard,-40.340239980000000,-9.914934360000000,not orthorectified
63,2,63,0,gold standard,134,gold standard,-40.341888079999997,-9.915779840000001,not orthorectified
64,2,64,0,gold standard,134,gold standard,-40.342463819999999,-9.916515190000000,not orthorectified
65,4,65,0,gold standard,136,gold standard,-40.341941540000001,-9.914428279999999,not orthorectified
66,3,66,0,gold standard,122,gold standard,-40.342775560000000,-9.912613570000000,not orthorectified
67,2,67,0,gold standard,109,gold standard,-40.343893330000000,-9.912317920000000,not orthorectified
68,5,68,0,gold standard,110,gold standard,-40.344059960000003,-9.911349850000001,not orthorectified
69,2,69,0,gold standard,123,gold standard,-40.343459390000000,-9.911914100000001,not orthorectified
70,3,70,0,gold standard,122,gold standard,-40.343490600000003,-9.912692540000000,not orthorectified
71,3,71,0,gold standard,122,gold standard,-40.343433179999998,-9.912896269999999,not orthorectified
72,1,72,0,gold standard,137,gold standard,-40.342108170000003,-9.912235080000000,not orthorectified
73,1,73,0,gold standard,137,gold standard,-40.342080359999997,-9.912911090000000,not orthorectified
74,2,74,0,gold standard,204,gold standard,-40.339019190000002,-9.916136679999999,not orthorectified
75,3,75,0,gold standard,205,gold standard,-40.338703350000003,-9.915114500000000,not orthorectified
76,4,76,0,gold standard,206,gold standard,-40.338707870000000,-9.914392330000000,not orthorectified
77,4,77,0,gold standard,206,gold standard,-40.338700490000001,-9.914490980000000,not orthorectified
